Symbol,Tag,Monitoring Status,Monitoring Started,Last Hourly RSI,Last Hourly Check,Last 15m Check
NSE:LUPIN,,MONITORING,2026-09-01 09:19:29,44.96,2026-09-01 09:19:29,2026-09-04 10:20:35
NSE:HINDALCO,,MONITORING,2026-09-01 10:04:33,44.63,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:HINDZINC,,MONITORING,2026-09-01 10:04:33,36.61,2026-09-03 19:39:05,2026-09-04 10:20:35
NSE:GVT&D,,MONITORING,2026-09-01 11:04:26,48.31,2026-09-01 11:04:26,2026-09-04 10:20:35
NSE:HFCL,,MONITORING,2026-09-01 11:04:26,49.76,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:LGEINDIA,IPO,MONITORING,2026-09-01 12:04:27,41.21,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:MOTHERSON,,MONITORING,2026-09-01 13:04:31,44.44,2026-09-03 11:04:26,2026-09-04 10:20:35
NSE:SCHNEIDER,,MONITORING,2026-09-01 13:04:31,44.17,2026-09-01 13:04:31,2026-09-04 10:20:35
NSE:BOSCHLTD,,MONITORING,2026-09-01 14:04:29,35.75,2026-09-02 18:29:04,2026-09-04 10:20:35
NSE:RRKABEL,,MONITORING,2026-09-01 14:04:29,22.43,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:MEDANTA,,MONITORING,2026-09-01 15:04:29,46.17,2026-09-01 20:01:13,2026-09-04 10:20:35
NSE:CGPOWER,,MONITORING,2026-09-01 19:45:37,49.52,2026-09-01 20:01:13,2026-09-04 10:20:35
NSE:APLAPOLLO,,MONITORING,2026-09-02 09:19:29,46.82,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:BHARATFORG,,MONITORING,2026-09-02 09:19:29,38.88,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:GLENMARK,,MONITORING,2026-09-02 09:19:29,49.21,2026-09-03 09:19:37,2026-09-04 10:20:35
NSE:INTELLECT,,MONITORING,2026-09-02 09:19:29,47.34,2026-09-02 09:19:29,2026-09-04 10:20:35
NSE:LTTS,,MONITORING,2026-09-02 09:19:29,38.21,2026-09-03 10:04:26,2026-09-04 10:20:35
NSE:NYKAA,,MONITORING,2026-09-02 09:19:29,41.47,2026-09-04 09:39:47,2026-09-04 10:20:35
NSE:WIPRO,,MONITORING,2026-09-02 09:19:29,35.96,2026-09-03 19:39:05,2026-09-04 10:20:35
NSE:ZENSARTECH,,MONITORING,2026-09-02 09:19:29,42.11,2026-09-02 09:19:29,2026-09-04 10:20:35
BBTC,Volume Shocker,MONITORING,2026-09-02 09:19:29,46.96,2026-09-04 10:04:30,2026-09-04 10:20:35
ASHOKA,Volume Shocker,MONITORING,2026-09-02 09:19:29,41.87,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:MCX,,MONITORING,2026-09-02 11:04:26,48.72,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:NEULANDLAB,,MONITORING,2026-09-02 11:04:26,45.83,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:ALKEM,,MONITORING,2026-09-02 12:04:30,29.51,2026-09-02 12:04:30,2026-09-04 10:20:35
NSE:COHANCE,,MONITORING,2026-09-02 12:04:30,48.29,2026-09-02 12:04:30,2026-09-04 10:20:35
NSE:NBCC,,MONITORING,2026-09-02 12:04:30,44.48,2026-09-03 09:19:37,2026-09-04 10:20:35
NSE:ZYDUSLIFE,,MONITORING,2026-09-02 12:04:30,35.57,2026-09-03 14:04:45,2026-09-04 10:20:35
NSE:BSOFT,,MONITORING,2026-09-02 13:04:31,48.99,2026-09-02 13:04:31,2026-09-04 10:20:35
NSE:INDUSTOWER,,MONITORING,2026-09-02 13:04:31,47.74,2026-09-02 13:04:31,2026-09-04 10:20:35
NSE:AUROPHARMA,,MONITORING,2026-09-02 15:04:26,36.71,2026-09-03 19:39:05,2026-09-04 10:20:35
NSE:CIPLA,,MONITORING,2026-09-02 18:29:04,48.19,2026-09-02 18:29:04,2026-09-04 10:20:35
NSE:FORTIS,,MONITORING,2026-09-02 18:29:04,49.25,2026-09-02 18:29:04,2026-09-04 10:20:35
NSE:PINELABS,,MONITORING,2026-09-02 18:29:04,46.36,2026-09-02 18:29:04,2026-09-04 10:20:35
NSE:NH,,MONITORING,2026-09-02 19:35:11,48.86,2026-09-02 19:35:11,2026-09-04 10:20:35
NSE:ATHERENERG,,MONITORING,2026-09-03 09:19:37,41.64,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:HCLTECH,,MONITORING,2026-09-03 09:19:37,44.19,2026-09-03 19:39:05,2026-09-04 10:20:35
NSE:INFY,,MONITORING,2026-09-03 09:19:37,45.64,2026-09-03 19:39:05,2026-09-04 10:20:35
NSE:LTM,,MONITORING,2026-09-03 09:19:37,46.03,2026-09-03 19:39:05,2026-09-04 10:20:35
NSE:TECHM,,MONITORING,2026-09-03 09:19:37,39.86,2026-09-03 19:39:05,2026-09-04 10:20:35
ATHERENERG,Other,MONITORING,2026-09-03 09:19:37,42.31,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:FEDERALBNK,,MONITORING,2026-09-03 10:04:26,38.77,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:JINDALSTEL,,MONITORING,2026-09-03 10:04:26,41.52,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:RKFORGE,,MONITORING,2026-09-03 10:04:26,33.63,2026-09-04 09:39:47,2026-09-04 10:20:35
NSE:JSWSTEEL,,MONITORING,2026-09-03 11:04:26,47.99,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:NMDC,,MONITORING,2026-09-03 11:04:26,44.42,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:TCS,,MONITORING,2026-09-03 13:04:33,45.03,2026-09-03 19:39:05,2026-09-04 10:20:35
NSE:TORNTPHARM,,MONITORING,2026-09-03 14:04:45,45.29,2026-09-03 14:04:45,2026-09-04 10:20:35
NSE:ETERNAL,,MONITORING,2026-09-03 18:58:33,48.71,2026-09-04 09:39:47,2026-09-04 10:20:35
NSE:AKUMS,,MONITORING,2026-09-04 09:39:47,41.06,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:ICICIBANK,,MONITORING,2026-09-04 09:39:47,44.07,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:JINDALSAW,,MONITORING,2026-09-04 09:39:47,48.17,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:JUSTDIAL,,MONITORING,2026-09-04 09:39:47,47.07,2026-09-04 09:39:47,2026-09-04 10:20:35
NSE:LAURUSLABS,,MONITORING,2026-09-04 09:39:47,47.51,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:NAZARA,,MONITORING,2026-09-04 09:39:47,48.91,2026-09-04 09:39:47,2026-09-04 10:20:35
JINDALSAW,"Volume Shocker, Watch for Entry",MONITORING,2026-09-04 09:39:47,48.17,2026-09-04 10:04:30,2026-09-04 10:20:35
BALKRISIND,Volume Shocker,MONITORING,2026-09-04 09:39:47,45.16,2026-09-04 10:04:30,2026-09-04 10:20:35
ALIVUS,"Trend Breakout, Volume Shocker, All Time High",MONITORING,2026-09-04 09:39:47,42.17,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:ABB,,MONITORING,2026-09-04 10:04:30,49.19,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:ALIVUS,,MONITORING,2026-09-04 10:04:30,42.5,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:CYIENT,,MONITORING,2026-09-04 10:04:30,49.37,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:PERSISTENT,,MONITORING,2026-09-04 10:04:30,47.23,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:RADICO,,MONITORING,2026-09-04 10:04:30,46.41,2026-09-04 10:04:30,2026-09-04 10:20:35
NSE:STYL,,MONITORING,2026-09-04 10:04:30,48.53,2026-09-04 10:04:30,2026-09-04 10:20:35
