Scan Time,Symbol,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Category,Signal,Reason
2026-08-17 15:06:25,NSE:UNITDSPR,1545.4,68.43,67.75,0.68,2026-08-17 15:00,60.06,54.93,5.12,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 68.43 > 50, but Hourly RSI has not touched 30 (current 60.06)"
2026-08-17 15:06:26,NSE:VIJAYA,1506.0,71.09,69.58,1.51,2026-08-17 15:00,62.13,50.58,11.55,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 71.09 > 50, but Hourly RSI has not touched 30 (current 62.13)"
2026-08-17 15:06:27,NSE:WELCORP,1882.8,88.62,88.47,0.16,2026-08-17 15:00,59.38,50.79,8.58,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 88.62 > 50, but Hourly RSI has not touched 30 (current 59.38)"
2026-08-17 15:06:28,NSE:ZENTEC,1859.7,59.04,58.95,0.09,2026-08-17 15:00,65.59,64.19,1.4,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 59.04 > 50, but Hourly RSI has not touched 30 (current 65.59)"
2026-08-17 15:06:29,NSE:ZFCVINDIA,2620.0,58.04,58.94,-0.9,2026-08-17 15:00,49.54,51.88,-2.34,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 58.04 > 50, but Hourly RSI has not touched 30 (current 49.54)"
2026-08-17 15:06:30,NSE:ZYDUSLIFE,1135.2,65.38,65.38,0.0,2026-08-17 15:00,35.75,35.75,0.0,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 65.38 > 50, but Hourly RSI has not touched 30 (current 35.75)"
2026-08-17 15:13:20,NSE:ABB,7683.5,63.8,63.4,0.4,2026-08-17 15:00,50.74,45.35,5.4,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 63.80 > 50, but Hourly RSI has not touched 30 (current 50.74)"
2026-08-17 15:13:21,NSE:ABBOTINDIA,26900.0,47.83,49.0,-1.17,2026-08-17 15:00,25.65,28.62,-2.97,NO,,,,,,,15m logic removed,IGNORE,❌ IGNORE,Weekly RSI 47.83 <= 50
2026-08-17 15:13:22,NSE:ACMESOLAR,365.0,62.33,65.76,-3.42,2026-08-17 15:00,35.84,49.08,-13.24,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 62.33 > 50, but Hourly RSI has not touched 30 (current 35.84)"
2026-08-17 15:13:23,NSE:AEGISLOG,1288.0,67.59,66.7,0.89,2026-08-17 15:00,53.87,40.29,13.58,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 67.59 > 50, but Hourly RSI has not touched 30 (current 53.87)"
2026-08-17 15:13:24,NSE:AEGISVOPAK,268.8,58.06,58.16,-0.1,2026-08-17 15:00,35.97,37.35,-1.38,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 58.06 > 50, but Hourly RSI has not touched 30 (current 35.97)"
2026-08-17 15:13:24,NSE:AFFLE,1707.2,62.87,60.66,2.21,2026-08-17 15:00,65.32,53.31,12.01,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 62.87 > 50, but Hourly RSI has not touched 30 (current 65.32)"
2026-08-17 15:13:25,NSE:AKUMS,742.15,72.12,70.82,1.3,2026-08-17 15:00,53.82,37.07,16.75,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 72.12 > 50, but Hourly RSI has not touched 30 (current 53.82)"
2026-08-17 15:13:26,NSE:ALIVUS,1395.0,78.75,78.41,0.34,2026-08-17 15:00,63.27,63.23,0.04,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 78.75 > 50, but Hourly RSI has not touched 30 (current 63.27)"
2026-08-17 15:13:27,NSE:ANANDRATHI,2174.9,74.94,74.94,0.01,2026-08-17 15:00,52.39,50.58,1.8,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 74.94 > 50, but Hourly RSI has not touched 30 (current 52.39)"
